UTC,Open,High,Low,Close,Volume
16.10.2025 02:00:00.000 UTC,1.16698,1.16747,1.16641,1.16659,3357.61
16.10.2025 03:00:00.000 UTC,1.16658,1.16671,1.16615,1.16621,3362.89
16.10.2025 04:00:00.000 UTC,1.16619,1.16621,1.16557,1.16561,1430.49
16.10.2025 05:00:00.000 UTC,1.16559,1.16614,1.16537,1.166,3042.66
16.10.2025 06:00:00.000 UTC,1.16609,1.16678,1.16521,1.16538,6691.06
16.10.2025 07:00:00.000 UTC,1.16538,1.16567,1.16429,1.16518,8043.27
16.10.2025 08:00:00.000 UTC,1.16517,1.16599,1.16485,1.16587,4932.21
16.10.2025 09:00:00.000 UTC,1.16586,1.16637,1.16523,1.16581,3547.35
16.10.2025 10:00:00.000 UTC,1.16583,1.16628,1.16529,1.16552,4377.75
16.10.2025 11:00:00.000 UTC,1.16556,1.16563,1.16462,1.16539,4524.64
16.10.2025 12:00:00.000 UTC,1.1654,1.16616,1.16489,1.16603,6025.21
16.10.2025 13:00:00.000 UTC,1.16602,1.16641,1.165,1.16574,7146.2
16.10.2025 14:00:00.000 UTC,1.16575,1.16779,1.16534,1.16769,6915.91
16.10.2025 15:00:00.000 UTC,1.16769,1.1678,1.16611,1.16643,5508.15
16.10.2025 16:00:00.000 UTC,1.16642,1.16789,1.1664,1.16767,7842.99
16.10.2025 17:00:00.000 UTC,1.1677,1.16935,1.16767,1.16881,6417.91
